Latitud;Longitud
9.749;-83.7637
9.7943;-83.8548
9.7491;-83.8093
9.7491;-83.8549
9.7943;-83.8548
9.7491;-83.8093
9.7943;-83.8092
9.7491;-83.8093
9.7943;-83.8548
9.5681;-83.7185
9.8395;-83.8547
9.8395;-83.8547
9.8395;-83.8547
9.8395;-83.8547
9.8395;-83.8547
9.8395;-83.8547
9.7943;-83.8548
9.8395;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.8395;-83.8092
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8547
9.8846;-83.7635
9.8846;-83.7635
9.8395;-83.8092
9.8395;-83.8092
